date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:17	86722/86722	---MCZ	200	added ('OK')	text/html	etag:%22152c2-69fad980-9e07c70fb9afa383;gz%22	https://html.vikinglab.agency/saasi/index.html	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/index.html	(from )
09:14:17	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-54d09ec280c4b325;gz%22	https://html.vikinglab.agency/robots.txt		(from )
09:14:17	918/918	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jun%202026%2003:44:16%20GMT	https://html.vikinglab.agency/saasi/assets/img/logo/fav-icon.png	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/img/logo/fav-icon.png	(from https://html.vikinglab.agency/saasi/index.html)
09:14:18	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-69fad981-b49d263272c7879b;gz%22	https://html.vikinglab.agency/saasi/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/bootstrap.min.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:18	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-69fad981-e9518efef7e056b1;gz%22	https://html.vikinglab.agency/saasi/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/magnific-popup.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:18	18459/18459	---M-Z	200	added ('OK')	text/css	etag:%22481b-69fad981-eacd326d7d5747a5;gz%22	https://html.vikinglab.agency/saasi/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/swiper-bundle.min.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:18	4283/4283	---M-Z	200	added ('OK')	text/css	etag:%2210bb-69fad981-fecbcabd7eb75478;gz%22	https://html.vikinglab.agency/saasi/assets/css/nice-select.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/nice-select.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:19	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-69fad981-a861e9ad6452cceb;gz%22	https://html.vikinglab.agency/saasi/assets/css/aos.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/aos.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:19	650667/650667	---M-Z	200	added ('OK')	text/css	etag:%229edab-69fad981-c4992b4d5eea80a;gz%22	https://html.vikinglab.agency/saasi/assets/css/fontawesome-pro.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/fontawesome-pro.css	(from https://html.vikinglab.agency/saasi/index.html)
09:14:19	2862/2862	---M-Z	200	added ('OK')	text/css	etag:%22b2e-69fad981-4086bc93297e7610;gz%22	https://html.vikinglab.agency/saasi/assets/css/odometer-theme-default.min.css	C:/My%20Web%20Sites/Plannor/html.vikinglab.agency/saasi/assets/css/odometer-theme-default.min.css	(from https://html.vikinglab.agency/saasi/index.html)
